번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자
1,날씨를 바꾸는 요술쟁이 바람,허창회 글;윤태규 그림,풀빛,2020,9.79E+12,,7,,453,1,0,2020-07-31
2,열혈 수탉 분투기,창신강 지음;션위엔위엔 그림;전수정 옮김,푸른숲,2015,9.79E+12,9.79E+12,4,16,808.91,1,0,2020-07-31
3,하늘 대탐험 Find me!:생태 숨은그림찾기 나를 찾아봐!,아녜세 바루치 지음;장혜진 옮김,파란자전거,2020,9.79E+12,,7,,691,1,0,2020-07-31
4,땅속 대탐험 Find me!:생태 숨은그림찾기 나를 찾아봐!,아녜세 바루치 지음;장혜진 옮김,파란자전거,2020,9.79E+12,,7,,691,1,0,2020-07-31
5,투명탐정 윅슨 알리에니,루카 도니넬리 글;니콜 도날드슨 그림;이현경 옮김,천개의바람,2020,9.79E+12,,7,,883,1,0,2020-07-31
6,카레가 보글보글,구도 노리코 글·그림;윤수정 옮김,책읽는곰,2020,9.79E+12,,7,46,808.91,1,0,2020-07-31
7,슈퍼 거북,유설화 글·그림,책읽는곰,2014,9.79E+12,9.79E+12,7,15,813.8,1,0,2020-07-31
8,슈퍼 토끼,유설화 글·그림,책읽는곰,2020,9.79E+12,,7,68,813.8,1,0,2020-07-31
9,꽁꽁꽁 피자,윤정주 글·그림,책읽는곰,2020,9.79E+12,,7,69,813.8,1,0,2020-07-31
10,꽁꽁꽁 피자,윤정주 글·그림,책읽는곰,2020,9.79E+12,,7,69,813.8,1,0,2020-07-31
11,무서운 늑대의 달콤한 초콜릿 가게,리지 핀레이 지음;홍연미 옮김,책속물고기,2020,9.79E+12,,7,,843,1,0,2020-07-31
12,XOX와 OXO,질 바슐레 글·그림;나선희 옮김,책빛,2020,9.79E+12,,7,30,808.9,1,0,2020-07-31
13,기차가 출발합니다:정호선 그림책,정호선 지음,창비,2020,9.79E+12,,7,,813.8,1,0,2020-07-31
14,책 먹는 여우의 여행일기,프란치스카 비어만 글·그림;송순섭 옮김,주니어김영사,2020,9.79E+12,,7,,853,1,0,2020-07-31
15,수상한 바리스타와 사라진 금괴,정명섭 글;홍연시 그림,주니어김영사,2020,9.79E+12,,7,57,808.91,1,0,2020-07-31
16,올림포스 가디언:초등 필수 인문 교양서 그리스 로마 신화,토마스 불핀치;주니어RHK 편집부 (엮음) 지음,주니어RHK(주니어랜덤),2020,9.79E+12,,7,1,219.21,1,0,2020-07-31
17,아홉 살 탐정 레베카,PJ 라이언 글;토리아트 그림;김경희 옮김,제제의숲,2020,9.79E+12,,7,3,843.82,1,0,2020-07-31
18,아홉 살 탐정 레베카,PJ 라이언 글;토리아트 그림;김경희 옮김,제제의숲,2020,9.79E+12,,7,2,843.82,1,0,2020-07-31
